"stock_symbol","nse_code","current_price","name","change_percent","quantity","realized","avg_price","current_value","holding_value","unrealized"
"AARIND","AARTIIND",742.95,"AARTI INDUSTRIES LTD",-1.65,58,0,603.19,43091.1,34985.02,8106.08
"AARPHA","AARTIPHARM",512,"AARTI PHARMALABS LIMITED",-0.51,7,0,0,3584,0,3584
"ADAPOR","ADANIPORTS",1322.9,"ADANI PORTS AND SPECIAL ECONOMIC ZONE LD",0.43,32,-765.1,488.64,42332.8,15636.48,26696.32
"AJAPHA","AJANTPHARM",2212,"AJANTA PHARMA LTD",-0.03,9,0,1141.37,19908,10272.33,9635.67
"ALKLAB","ALKEM",4825,"ALKEM LABORATORIES LIMITED",-1.2,3,0,3009.98,14475,9029.94,5445.06
"AMBCE","AMBUJACEM",618.95,"AMBUJA CEMENTS LTD",-1.7,47,0,384.76,29090.65,18083.72,11006.93
"ASHLEY","ASHOKLEY",192.4,"ASHOK LEYLAND LTD",3.8,388,0,78.07,74651.2,30291.16,44360.04
"ASIPAI","ASIANPAINT",2875,"ASIAN PAINTS INDIA LTD",0.24,36,0,1707.62,103500,61474.32,42025.68
"ASTPOL","ASTRAL",2120,"ASTRAL LIMITED",3.14,18,0,1088.28,38160,19589.04,18570.96
"AXIBAN","AXISBANK",1162.45,"AXIS BANK LIMITED",0.28,72,0,763.65,83696.4,54982.8,28713.6
"BAAUTO","BAJAJ-AUTO",8915.7,"BAJAJ AUTO LIMITED",1.78,6,0,3463.99,53494.2,20783.94,32710.26
"BAJFI","BAJFINANCE",6903.05,"BAJAJ FINANCE LIMITED",1.12,3,5018.62,6724.36,20709.15,20173.08,536.07
"BAYIND","BAYERCROP",5519,"BAYER CROPSCIENCE LIMITED",0.8,3,0,5657.55,16557,16972.65,-415.65
"BHAAIR","BHARTIARTL",1324.5,"BHARTI AIRTEL LTD",-0.6,150,0,453.55,198675,68032.5,130642.5
"BHAPP1","890157",0,"BHARTI AIRTEL EQ PP RS 1.25",0,10,0,0,0,0,0
"BORGLA","BORORENEW",525,"BOROSIL RENEWABLES LIMITED",0.18,55,0,280.92,28875,15450.6,13424.4
"CIPLA","CIPLA",1400.55,"CIPLA LIMITED",-0.53,50,0,1126.27,70027.5,56313.5,13714
"CMSIN","CMSINFO",415.9,"CMS INFO SYSTEMS LIMITED",0.17,66,0,376.2,27449.4,24829.2,2620.2
"COALIN","COALINDIA",453.9,"COAL INDIA LIMITED",0.14,167,0,302.91,75801.3,50585.97,25215.33
"CUMIND","CUMMINSIND",3270,"CUMMINS INDIA LTD",-1.08,14,0,2745.81,45780,38441.34,7338.66
